id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1465906499595685893,1465906499595685893,2021-11-30 23:51:59 Eastern Standard Time,2021-11-30,23:51:59,-0500,878247600096509952,realcandaceo,Candace Owens,,I never ever scan QR codes at restaurants. I always request paper menus.  Just a weird gut feeling I have about how it was rapidly introduced under the guise of Covid prevention.,en,[],[],[],2791,3612,29226,[],[],https://twitter.com/RealCandaceO/status/1465906499595685893,False,,0,,,,,,,,[],,,,
1464657075724767237,1464657075724767237,2021-11-27 13:07:13 Eastern Standard Time,2021-11-27,13:07:13,-0500,878247600096509952,realcandaceo,Candace Owens,,"“Experts” told you if you complied with lockdowns, censorship, masks and vaccinations—life would return to normal.  “Conspiracy theorists” told you Covid was never going to end, and governments would use it to usher in a totalitarian new world order.   Who do you believe now?",en,[],[],[],2145,18671,55627,[],[],https://twitter.com/RealCandaceO/status/1464657075724767237,False,,0,,,,,,,,[],,,,
1462104429809840130,1462104429809840130,2021-11-20 12:03:55 Eastern Standard Time,2021-11-20,12:03:55,-0500,878247600096509952,realcandaceo,Candace Owens,,Received an e-mail from my pediatrician’s office today.  They are looking for 6 month olds to enroll in a Covid-19 vaccine trial on behalf of Meridian Clinical Research.  Just in case you thought Big Pharma evil was done…  Just wait til they come for your infants with mandates!,en,[],[],[],1873,9173,32915,[],[],https://twitter.com/RealCandaceO/status/1462104429809840130,False,,0,,,,,,,,[],,,,
1461051308090302467,1461051308090302467,2021-11-17 14:19:11 Eastern Standard Time,2021-11-17,14:19:11,-0500,878247600096509952,realcandaceo,Candace Owens,,Fascinating article. Gilbraltar is the most vaccinated place in the world— 118% vaccinated bc of the Spaniards traveling there to get vaccinated.   They just cancelled Christmas and instants mask mandates because of Covid infection rates.   CLOWN WORLD.    https://t.co/KxRHahiMII,en,[],['https://www.rt.com/news/540442-gibraltar-cancels-christmas-covid/'],[],518,3715,11926,[],[],https://twitter.com/RealCandaceO/status/1461051308090302467,False,,0,,,,,,,,[],,,,
1455181030185488393,1455181030185488393,2021-11-01 10:32:48 Eastern Summer Time,2021-11-01,10:32:48,-0500,878247600096509952,realcandaceo,Candace Owens,,Reminding you all that a year ago I broke the story that Governor @NedLamont claimed to have the first case of a baby dying from Covid. The truth was that the infant had been accidentally smothered to death by its own mother.  Died “with” COVID was presented to the press.,en,"[{'screen_name': 'nedlamont', 'name': 'ned lamont', 'id': '24972208'}]",[],[],185,1526,5638,[],[],https://twitter.com/RealCandaceO/status/1455181030185488393,False,https://twitter.com/RealCandaceO/status/1455179514342936598,0,,,,,,,,[],,,,
1455179514342936598,1455179514342936598,2021-11-01 10:26:46 Eastern Summer Time,2021-11-01,10:26:46,-0500,878247600096509952,realcandaceo,Candace Owens,,How many children have died from Covid? Not “complicated by” not “with” but FROM Covid.  Every case I have seen so far (and there are very few) reveal severe comorbidities— like terminal cancer.   Have any children anywhere actually died FROM Covid-19?,en,[],[],[],1625,5644,28494,[],[],https://twitter.com/RealCandaceO/status/1455179514342936598,False,,0,,,,,,,,[],,,,
1453762878255808517,1453762878255808517,2021-10-28 12:37:34 Eastern Summer Time,2021-10-28,12:37:34,-0500,878247600096509952,realcandaceo,Candace Owens,,"This might be the most bizarre fact-check I’ve ever received on @Facebook.  This post was labeled FALSE for misinformation regarding childhood covid vaccination.  But I did not mention Covid or vaccination, plus I made a future prediction.  Can they now fact-check the future?  https://t.co/60mZASuI7W",en,"[{'screen_name': 'facebook', 'name': 'facebook', 'id': '217804739'}]",[],['https://pbs.twimg.com/media/FCzNnxjXsAwWh7t.jpg'],526,2315,10162,[],[],https://twitter.com/RealCandaceO/status/1453762878255808517,False,,1,https://pbs.twimg.com/media/FCzNnxjXsAwWh7t.jpg,,,,,,,[],,,,
1452759543939801090,1452758476367843337,2021-10-25 18:10:40 Eastern Summer Time,2021-10-25,18:10:40,-0500,878247600096509952,realcandaceo,Candace Owens,,-Not bribing people with Six Flag tickets -Not firing healthcare workers who presumably know about health risks -Not censoring doctors  -Not banning other health alternatives to treat Covid  I could go on but the point is—our governments appear desperate and evil.,en,[],[],[],367,2454,14996,[],[],https://twitter.com/RealCandaceO/status/1452759543939801090,False,,0,,,,,,,,[],,,,
1452758476367843337,1452758476367843337,2021-10-25 18:06:26 Eastern Summer Time,2021-10-25,18:06:26,-0500,878247600096509952,realcandaceo,Candace Owens,,Policies that might make people trust the vaccines?  -Leaving people who have previously contracted Covid alone. -Discussing natural antibodies  -Leaving children/teens out of the discussion.  -Not expunging the records of criminals if they get vaccinated.   Etc.,en,[],[],[],623,4977,25750,[],[],https://twitter.com/RealCandaceO/status/1452758476367843337,False,,0,,,,,,,,[],,,,
1448765537312550924,1448765537312550924,2021-10-14 17:39:55 Eastern Summer Time,2021-10-14,17:39:55,-0500,878247600096509952,realcandaceo,Candace Owens,,Parents say their children were “accidentally” given covid vaccinations instead of a flu shot and now they suffering side effects to their heart and blood pressure.   I’m sure it was an accident.    https://t.co/yP5cw5xUyu,en,[],['https://www.dailymail.co.uk/health/article-10092907/Indiana-parents-say-kids-ages-4-5-accidentally-given-Covid-vaccines-instead-flu-shots.html'],[],664,2930,7722,[],[],https://twitter.com/RealCandaceO/status/1448765537312550924,False,,0,,,,,,,,[],,,,
1446181096517947395,1446181096517947395,2021-10-07 14:30:16 Eastern Summer Time,2021-10-07,14:30:16,-0500,878247600096509952,realcandaceo,Candace Owens,,"Looking in to what is happening in Australia and I can now confidently say that World War 3 is upon us. We are in the midst of a global, psychological warfare. Under the guise of Covid-19, governments worldwide have declared war on their people for full totalitarian control.",en,[],[],[],4923,21683,77141,[],[],https://twitter.com/RealCandaceO/status/1446181096517947395,False,,0,,,,,,,,[],,,,
1441084336023949312,1441084336023949312,2021-09-23 12:57:34 Eastern Summer Time,2021-09-23,12:57:34,-0500,878247600096509952,realcandaceo,Candace Owens,,"Did you know you need a vaccine passport to enter all businesses in NYC but you do not need one to enter the subway.   So the most crowded place in New York City—the subway—does not require proof of vaccination.   A reminder that Covid is not about science, it’s about compliance.",en,[],[],[],1647,13879,57898,[],[],https://twitter.com/RealCandaceO/status/1441084336023949312,False,,0,,,,,,,,[],,,,
1440480985842208779,1440480985842208779,2021-09-21 21:00:04 Eastern Summer Time,2021-09-21,21:00:04,-0500,878247600096509952,realcandaceo,Candace Owens,,Anti-vax used to mean those who were against vaccines. Now it’s:   -Otherwise vaccinated people who decide against 1 vaccine. -people who received the Covid vaccine and openly discuss bad side effects. -people who received the Covid vaccine series but will decline a booster shot.,en,[],[],[],1113,7398,33530,[],[],https://twitter.com/RealCandaceO/status/1440480985842208779,False,,0,,,,,,,,[],,,,
1440013931163144193,1440013931163144193,2021-09-20 14:04:10 Eastern Summer Time,2021-09-20,14:04:10,-0500,878247600096509952,realcandaceo,Candace Owens,,"Joe Rogan beating covid within two days is not an argument to remain unvaccinated.  But Chris Rock and Oscar De La Hoya both getting jabbed, and then acquiring and suffering from severe Covid symptoms is an argument to get vaccinated immediately.   Literally nothing makes sense.",en,[],[],[],1620,13007,52839,[],[],https://twitter.com/RealCandaceO/status/1440013931163144193,False,,0,,,,,,,,[],,,,
1440013071427252228,1440013071427252228,2021-09-20 14:00:45 Eastern Summer Time,2021-09-20,14:00:45,-0500,878247600096509952,realcandaceo,Candace Owens,,How many “exceedingly rare” breakthrough cases of Covid must occur before we can stop pretending that they are exceedingly rare?,en,[],[],[],666,3266,17643,[],[],https://twitter.com/RealCandaceO/status/1440013071427252228,False,https://twitter.com/Timcast/status/1439933597046251523,0,,,,,,,,[],,,,
1438982153010917380,1438982153010917380,2021-09-17 17:44:14 Eastern Summer Time,2021-09-17,17:44:14,-0500,878247600096509952,realcandaceo,Candace Owens,,"Another black man who is claiming that the covid-19 vaccine gave him swelling— this time in the elbow.  QUICK, BIG-PHARMA-FUNDED-MEDIA! Smear and libel him as a liar, a conspiracy theorist, and somebody who is going to get people KILLED with his rhetoric.",en,[],[],[],427,2193,9929,[],[],https://twitter.com/RealCandaceO/status/1438982153010917380,False,https://twitter.com/nypost/status/1438851422502670341,0,,,,,,,,[],,,,
1438677976158244872,1438677976158244872,2021-09-16 21:35:33 Eastern Summer Time,2021-09-16,21:35:33,-0500,878247600096509952,realcandaceo,Candace Owens,,You’re not allowed to say this. Big Pharma says that absolutely nothing works to help treat Covid at all. Nothing anywhere ever on the face of the planet… except the vaccine that is earning them billions.,en,[],[],[],686,4255,17451,[],[],https://twitter.com/RealCandaceO/status/1438677976158244872,False,https://twitter.com/tylerbowyer/status/1438613669814800422,0,,,,,,,,[],,,,
1438584129789079555,1438584129789079555,2021-09-16 15:22:38 Eastern Summer Time,2021-09-16,15:22:38,-0500,878247600096509952,realcandaceo,Candace Owens,,"Fully vaccinated woman’s family blames unvaccinated people for her death from Covid-19.  They claim if others had gotten the vaccine—she’d be alive.   WHAT?!   Using this logic, can any person explain to me how the vaccines work?   https://t.co/84oIoRvVlh",en,[],['https://www.dailymail.co.uk/news/article-9997799/Family-blames-unvaccinated-death-fully-vaccinated-Illinois-woman-obituary.html'],[],2962,4210,21180,[],[],https://twitter.com/RealCandaceO/status/1438584129789079555,False,,0,,,,,,,,[],,,,
